username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
rkkant;2015-12-02 04:14;0;0;"https:// aptransport.in/APCFSTONLINE/R eports/VehicleRegistrationSearch.aspx #ChennaiRains #ChennaiFloods https:// twitter.com/ThalaAjith_FC/ status/671820942860005376 ";;;#ChennaiRains #ChennaiFloods;"671822155328462848";https://twitter.com/rkkant/status/671822155328462848
manoj_koduru;2015-12-02 04:14;0;0;"Did the rains came to control ??? #ChennaiFloods #chennairains";;;#ChennaiFloods #chennairains;"671822152224645120";https://twitter.com/manoj_koduru/status/671822152224645120
trishysuri;2015-12-02 04:11;0;2;"Which nonprofits are taking donations in USD for #ChennaiFloods ? I've had the hardest time trying to donate online.";;;#ChennaiFloods;"671821415960592384";https://twitter.com/trishysuri/status/671821415960592384
Banuchanthiran;2015-12-02 04:11;3;0;"#chennairains #ChennaiFloods #nationalmedia pic.twitter.com/qqKXkHjaf3";;;#chennairains #ChennaiFloods #nationalmedia;"671821364983017472";https://twitter.com/Banuchanthiran/status/671821364983017472
SivaKOfficial;2015-12-02 04:10;4;6;"It's so heartwarming to see the whole of chennai united at this time #chennairains #Humanity #ChennaiFloods #chennaiweather @anirudhofficial";;@anirudhofficial;#chennairains #Humanity #ChennaiFloods #chennaiweather;"671821295160418304";https://twitter.com/SivaKOfficial/status/671821295160418304
bala_chn;2015-12-02 04:09;2;0;"Thankfully our house is in first floor. Two families from opposite house staying with us now. Water level is terrible. #ChennaiFloods";;;#ChennaiFloods;"671821019162611712";https://twitter.com/bala_chn/status/671821019162611712
ThalaAjith_FC;2015-12-02 04:09;45;7;"Please Share this Post!! #Accident #chennairains #ChennaiRescue #ChennaiFloods pic.twitter.com/cDXIHpn5Cj";;;#Accident #chennairains #ChennaiRescue #ChennaiFloods;"671820942860005376";https://twitter.com/ThalaAjith_FC/status/671820942860005376
SouparChander;2015-12-02 04:08;2;0;"#chennairains #ChennaiFloods Varuna Bhagawane!! Podhum pa..pls..mudeela!! :( idhukku mela thaanga mudiyadhu! #savechennai #saveTN";;;#chennairains #ChennaiFloods #savechennai #saveTN;"671820752937549825";https://twitter.com/SouparChander/status/671820752937549825
justinwillet;2015-12-02 04:07;2;0;"Praying for the people of #Chennai tonight as the city continues to flood. #ChennaiFloods #chennairains pic.twitter.com/Rhhf1Ygrci";Maryland, USA;;#Chennai #ChennaiFloods #chennairains;"671820433314807808";https://twitter.com/justinwillet/status/671820433314807808
Mukamooodi;2015-12-02 04:06;35;9;"#TnRains #ChennaiFloods #chennairains ... #FB pic.twitter.com/mQ1nwc25eP";;;#TnRains #ChennaiFloods #chennairains #FB;"671820227987021824";https://twitter.com/Mukamooodi/status/671820227987021824
